date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:08:14	9272/9272	---M--	200	added ('OK')	image/png	etag:%22618256f0-2438%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/awards-2.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/awards-2.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2020:36:00%20GMT	https://radiustheme.com/demo/html/Deltech Technologies/awards-details.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/awards-details.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:16	7738/7738	---M--	200	added ('OK')	image/png	etag:%22618256f1-1e3a%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/awards-3.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/awards-3.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2020:36:02%20GMT	https://radiustheme.com/demo/html/Deltech Technologies/awards-details.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/awards-details.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:18	131460/131460	---M--	200	added ('OK')	image/png	etag:%226182573b-20184%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/support-bg-shape.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/support-bg-shape.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:18	54048/54048	---M--	200	added ('OK')	image/jpeg	etag:%22618256d3-d320%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-1.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-1.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:18	28044/28044	---M--	200	added ('OK')	image/jpeg	etag:%22618256d6-6d8c%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-2.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-2.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:18	36786/36786	---M--	200	added ('OK')	image/jpeg	etag:%22618256d6-8fb2%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-3.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-3.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:18	24656/24656	---M--	200	added ('OK')	image/jpeg	etag:%22618256d7-6050%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-4.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-4.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:19	42368/42368	---M--	200	added ('OK')	image/jpeg	etag:%22618256d7-a580%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-5.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/case/case-image-5.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:19	31948/31948	---M--	200	added ('OK')	image/jpeg	etag:%226182573f-7ccc%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/team/team-member-1.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/team/team-member-1.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:19	40847/40847	---M--	200	added ('OK')	image/jpeg	etag:%2261825740-9f8f%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/team/team-member-2.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/team/team-member-2.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:19	31764/31764	---M--	200	added ('OK')	image/jpeg	etag:%2261825740-7c14%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/team/team-member-3.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/team/team-member-3.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:20	595/595	---M--	200	added ('OK')	image/png	etag:%226182571e-253%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/left-quote.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/left-quote.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:20	3908/3908	---M--	200	added ('OK')	image/png	etag:%22618256f1-f44%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/review-auth-image-1.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/review-auth-image-1.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:20	3894/3894	---M--	200	added ('OK')	image/png	etag:%22618256f2-f36%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/review-auth-image-2.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/review-auth-image-2.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:20	4016/4016	---M--	200	added ('OK')	image/png	etag:%22618256f3-fb0%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/review-auth-image-3.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/review-auth-image-3.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:20	7139/7139	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261825722-1be3%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/price-setting.svg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/price-setting.svg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:21	8115/8115	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261825720-1fb3%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/price-quality.svg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/price-quality.svg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:21	8831/8831	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261825720-227f%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/price-diamond.svg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/icon/price-diamond.svg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
